dataset,is_primary,comparison_type,left_method,right_method,left_budget,right_budget,prompts,mean_tokens_per_second_diff,tokens_per_second_diff_ci_low,tokens_per_second_diff_ci_high,mean_relative_pct_diff,mean_baseline_normalized_speedup_diff,baseline_normalized_speedup_diff_ci_low,baseline_normalized_speedup_diff_ci_high,improve_prompts,tie_prompts,hurt_prompts
HumanEval,False,within_family_vs_sequential,Raw-DFlash,Sequential-Baseline,,,4,155.56716818048295,104.68958440322864,205.86492848634214,295.7776869210817,nan,nan,nan,4,0,0
HumanEval,False,within_family_vs_sequential,DFlash-Original-DDTree-B16,Sequential-Baseline,16,,4,179.0411387359524,131.01509503441935,231.15616731171212,340.2795270051839,nan,nan,nan,4,0,0
HumanEval,False,within_family_vs_sequential,DFlash-Original-DDTree-B32,Sequential-Baseline,32,,4,184.16035262914366,148.090040081162,227.01824099116737,349.77068137020603,nan,nan,nan,4,0,0
HumanEval,False,within_family_vs_sequential,DFlash-Original-DDTree-B64,Sequential-Baseline,64,,4,208.15489236059312,161.10341472437642,258.7454361294582,395.4734175076079,nan,nan,nan,4,0,0
HumanEval,False,controlled,DFlash-Original-DDTree-B16,Raw-DFlash,16,,4,23.47397055546943,-13.049085586859704,46.8094253627149,13.016237946234984,nan,nan,nan,3,0,1
HumanEval,False,controlled,DFlash-Original-DDTree-B32,Raw-DFlash,32,,4,28.59318444866068,6.922983495065331,49.03151522072377,16.076351136457625,nan,nan,nan,3,0,1
HumanEval,False,controlled,DFlash-Original-DDTree-B64,Raw-DFlash,64,,4,52.58772418011013,26.63395903613314,66.62123751732575,27.13204069137442,nan,nan,nan,4,0,0
HumanEval,False,within_family_vs_sequential,Raw-DFlash2,Sequential-Baseline,,,4,85.67026640090639,49.769755095708916,121.57077770610387,162.66969077465643,nan,nan,nan,4,0,0
HumanEval,False,within_family_vs_sequential,DFlash2-Original-DDTree-B7,Sequential-Baseline,7,,4,80.6570287139538,55.032196362329145,106.28186106557845,153.10174430985933,nan,nan,nan,4,0,0
HumanEval,False,within_family_vs_sequential,DFlash2-Original-DDTree-B16,Sequential-Baseline,16,,4,88.63700462966838,68.31326389765812,108.96074536167863,168.2862167557016,nan,nan,nan,4,0,0
HumanEval,False,within_family_vs_sequential,DFlash2-Original-DDTree-B32,Sequential-Baseline,32,,4,94.24038843225571,76.54228370084441,111.938493163667,178.89027052369664,nan,nan,nan,4,0,0
HumanEval,False,within_family_vs_sequential,DFlash2-Original-DDTree-B64,Sequential-Baseline,64,,4,93.36694145069771,68.74061742467744,117.99326547671797,177.25761503335636,nan,nan,nan,4,0,0
HumanEval,False,within_family_vs_sequential,DFlash2-Pairwise-K16-B7,Sequential-Baseline,7,,4,94.04924854853074,69.09774618247046,119.00075091459101,178.48850926935992,nan,nan,nan,4,0,0
HumanEval,False,within_family_vs_sequential,DFlash2-Pairwise-K16-B16,Sequential-Baseline,16,,4,103.37633995021659,79.41551936046554,132.29078041491815,196.131514653516,nan,nan,nan,4,0,0
HumanEval,False,within_family_vs_sequential,DFlash2-Pairwise-K16-B32,Sequential-Baseline,32,,4,107.95274210748528,81.29418467673865,134.6112995382319,204.85084569334722,nan,nan,nan,4,0,0
HumanEval,False,within_family_vs_sequential,DFlash2-Pairwise-K16-B64,Sequential-Baseline,64,,4,109.52227679532069,92.73654342651987,126.3080101641215,207.82119337670684,nan,nan,nan,4,0,0
HumanEval,False,within_family_vs_sequential,DFlash2-Unary-K16-B32,Sequential-Baseline,32,,4,93.29313934498715,75.68588485524727,110.90039383472703,177.08038609282983,nan,nan,nan,4,0,0
HumanEval,False,within_family_vs_sequential,DFlash2-Unary-K16-B64,Sequential-Baseline,64,,4,100.67949766258849,76.29268271158017,125.0663126135968,191.12494157705214,nan,nan,nan,4,0,0
MATH500,True,controlled,DFlash2-Pairwise-K16-B16,DFlash2-Original-DDTree-B16,16,16,4,19.667206103826267,13.938678980590694,25.39573322706184,11.644330030916684,nan,nan,nan,4,0,0
MATH500,False,controlled,DFlash2-Pairwise-K16-B7,DFlash2-Original-DDTree-B7,7,7,4,24.397621652820625,16.9770166809153,31.367432739717188,16.12266248839397,nan,nan,nan,4,0,0
MATH500,False,controlled,DFlash2-Pairwise-K16-B32,DFlash2-Original-DDTree-B32,32,32,4,17.110184894782584,-1.5813148130672943,35.80168460263246,11.168916494749213,nan,nan,nan,3,0,1
MATH500,False,controlled,DFlash2-Pairwise-K16-B64,DFlash2-Original-DDTree-B64,64,64,4,28.16921639861483,12.31461861870936,47.29346372931074,16.939058611416733,nan,nan,nan,4,0,0
MATH500,False,controlled,DFlash2-Pairwise-K16-B7,Raw-DFlash2,7,,4,3.0156318427322475,-6.858428986972797,12.889692672437292,1.7160302558504748,nan,nan,nan,2,0,2
MATH500,False,controlled,DFlash2-Pairwise-K16-B32,DFlash2-Unary-K16-B32,32,32,4,18.07942792742977,-0.9835936333190034,37.14244948817854,11.944909514261203,nan,nan,nan,2,0,2
MATH500,False,controlled,DFlash2-Pairwise-K16-B64,DFlash2-Unary-K16-B64,64,64,4,20.281382910646336,4.598421404950159,39.22398559182616,11.8389968436475,nan,nan,nan,3,0,1
MATH500,False,cross_drafter,DFlash2-Pairwise-K16-B16,Raw-DFlash,16,,4,-165.78296927203797,-260.12497312876195,-71.440965415314,-41.98594042268706,-3.186025308426584,-5.026773158879548,-1.345277457973621,0,0,4
MATH500,False,cross_drafter,DFlash2-Pairwise-K16-B16,DFlash-Original-DDTree-B16,16,16,4,-170.2773321158639,-248.6903621741974,-91.86430205753044,-44.30147918172421,-3.268693526319923,-4.806424422016359,-1.7309626306234862,0,0,4
MATH500,False,cross_drafter,DFlash2-Pairwise-K16-B32,Raw-DFlash,32,,4,-157.84407071024273,-263.80407791912506,-51.884063501360416,-38.17894965440433,-3.0351323290247816,-5.0961024740184895,-0.9741621840310735,0,0,4
MATH500,False,cross_drafter,DFlash2-Pairwise-K16-B32,DFlash-Original-DDTree-B32,32,32,4,-170.24556815052858,-240.9068472086236,-99.58428909243355,-44.06047043467889,-3.266247961932341,-4.657078085636749,-1.8754178382279327,0,0,4
MATH500,False,cross_drafter,DFlash2-Pairwise-K16-B64,Raw-DFlash,64,,4,-149.8278000077196,-254.45170108931939,-45.20389892611979,-35.84922824590845,-2.8848882812185135,-4.92056296088854,-0.8492136015484877,0,0,4
MATH500,False,cross_drafter,DFlash2-Pairwise-K16-B64,DFlash-Original-DDTree-B64,64,64,4,-174.61245557369537,-245.70910155141306,-108.98065642824494,-43.96235412246302,-3.3503797227399534,-4.759236535188343,-2.054146873738668,0,0,4
MATH500,False,within_family_vs_sequential,Raw-DFlash,Sequential-Baseline,,,4,302.6350179361755,189.51577124056067,415.7542646317903,577.0721118593932,nan,nan,nan,4,0,0
MATH500,False,within_family_vs_sequential,DFlash-Original-DDTree-B16,Sequential-Baseline,16,,4,307.12938078000144,209.93910788277708,404.3196536772258,585.3389336487271,nan,nan,nan,4,0,0
MATH500,False,within_family_vs_sequential,DFlash-Original-DDTree-B32,Sequential-Baseline,32,,4,315.0365153764613,237.2159968316338,396.21725140327516,600.1836751501493,nan,nan,nan,4,0,0
MATH500,False,within_family_vs_sequential,DFlash-Original-DDTree-B64,Sequential-Baseline,64,,4,327.4196735021512,253.29252874268582,401.54681826161675,623.6212560115373,nan,nan,nan,4,0,0
MATH500,False,controlled,DFlash-Original-DDTree-B16,Raw-DFlash,16,,4,4.494362843825968,-25.43324257644366,47.18270862094849,4.58546075893444,nan,nan,nan,1,0,3
MATH500,False,controlled,DFlash-Original-DDTree-B32,Raw-DFlash,32,,4,12.401497440285823,-22.897230710501503,47.70022559107315,8.14062904295547,nan,nan,nan,2,0,2
MATH500,False,controlled,DFlash-Original-DDTree-B64,Raw-DFlash,64,,4,24.78465556597577,-15.024088070527014,77.92093666071949,13.172163447102456,nan,nan,nan,2,0,2
MATH500,False,within_family_vs_sequential,Raw-DFlash2,Sequential-Baseline,,,4,130.8213731705456,108.50760312347722,154.0530679750982,247.64595217416047,nan,nan,nan,4,0,0
MATH500,False,within_family_vs_sequential,DFlash2-Original-DDTree-B7,Sequential-Baseline,7,,4,109.43938336045721,82.27438782389714,138.8660195388975,207.1249526265692,nan,nan,nan,4,0,0
MATH500,False,within_family_vs_sequential,DFlash2-Original-DDTree-B16,Sequential-Baseline,16,,4,116.94646871202013,98.51353965387646,135.3793977701638,221.30402601384526,nan,nan,nan,4,0,0
MATH500,False,within_family_vs_sequential,DFlash2-Original-DDTree-B32,Sequential-Baseline,32,,4,127.44238848285902,101.93577563408331,152.94900133163475,241.21019266236834,nan,nan,nan,4,0,0
MATH500,False,within_family_vs_sequential,DFlash2-Original-DDTree-B64,Sequential-Baseline,64,,4,124.39962768154993,104.90492449155818,143.89433087154168,235.44914468085327,nan,nan,nan,4,0,0
MATH500,False,within_family_vs_sequential,DFlash2-Pairwise-K16-B7,Sequential-Baseline,7,,4,133.83700501327783,112.14940557734256,163.7144350767269,253.3098954722721,nan,nan,nan,4,0,0
MATH500,False,within_family_vs_sequential,DFlash2-Pairwise-K16-B16,Sequential-Baseline,16,,4,136.6136748158464,116.67369549193253,156.87662441910814,258.4695810167348,nan,nan,nan,4,0,0
MATH500,False,within_family_vs_sequential,DFlash2-Pairwise-K16-B32,Sequential-Baseline,32,,4,144.5525733776416,134.74811938838627,158.09439539402962,273.5588789569151,nan,nan,nan,4,0,0
MATH500,False,within_family_vs_sequential,DFlash2-Pairwise-K16-B64,Sequential-Baseline,64,,4,152.56884408016475,136.9992942394833,161.4419167742627,288.5832837375419,nan,nan,nan,4,0,0
MATH500,False,within_family_vs_sequential,DFlash2-Unary-K16-B32,Sequential-Baseline,32,,4,126.47314545021183,100.59501074853722,152.35128015188644,239.40967147849233,nan,nan,nan,4,0,0
MATH500,False,within_family_vs_sequential,DFlash2-Unary-K16-B64,Sequential-Baseline,64,,4,132.28746116951845,113.32360073204612,151.25132160699076,250.38639617709813,nan,nan,nan,4,0,0
MT-Controlled,True,controlled,DFlash2-Pairwise-K16-B16,DFlash2-Original-DDTree-B16,16,16,4,1.1838961769615715,-6.746907466047119,9.114699819970262,1.618966335119566,nan,nan,nan,2,0,2
MT-Controlled,False,controlled,DFlash2-Pairwise-K16-B7,DFlash2-Original-DDTree-B7,7,7,4,1.843121794553987,-5.346406616267082,7.250809442023602,3.1044255095703566,nan,nan,nan,3,0,1
MT-Controlled,False,controlled,DFlash2-Pairwise-K16-B32,DFlash2-Original-DDTree-B32,32,32,4,3.494308390374158,-2.627380525082735,9.615997305831051,2.320033234157162,nan,nan,nan,2,0,2
MT-Controlled,False,controlled,DFlash2-Pairwise-K16-B64,DFlash2-Original-DDTree-B64,64,64,4,9.621953637730972,3.332711264285102,15.911196011176841,9.486116682296768,nan,nan,nan,4,0,0
MT-Controlled,False,controlled,DFlash2-Pairwise-K16-B7,Raw-DFlash2,7,,4,8.271548617334862,3.938069972700152,11.31256456991764,9.829725860212251,nan,nan,nan,4,0,0
MT-Controlled,False,controlled,DFlash2-Pairwise-K16-B32,DFlash2-Unary-K16-B32,32,32,4,3.526371390892848,-3.145877043129701,10.198619824915397,2.4442963062490324,nan,nan,nan,2,0,2
MT-Controlled,False,controlled,DFlash2-Pairwise-K16-B64,DFlash2-Unary-K16-B64,64,64,4,3.2559071753195,-2.200025149448102,8.711839500087102,3.5421860342866065,nan,nan,nan,2,0,2
MT-Controlled,False,cross_drafter,DFlash2-Pairwise-K16-B16,Raw-DFlash,16,,4,-6.2730530962733795,-35.826344416817776,11.459181383217352,0.4935098740725512,-0.13344845032459746,-0.7170335437633102,0.22042740746553152,3,0,1
MT-Controlled,False,cross_drafter,DFlash2-Pairwise-K16-B16,DFlash-Original-DDTree-B16,16,16,4,-22.574621753657578,-40.32916404465147,-9.095947296191653,-14.698794814763582,-0.44461075819859425,-0.8001478235952898,-0.1619772054174854,0,0,4
MT-Controlled,False,cross_drafter,DFlash2-Pairwise-K16-B32,Raw-DFlash,32,,4,1.8428477062831377,-22.2101398532833,17.788337311461518,7.242411532538811,0.020829073049112468,-0.4566161388102432,0.33904377338226516,3,0,1
MT-Controlled,False,cross_drafter,DFlash2-Pairwise-K16-B32,DFlash-Original-DDTree-B32,32,32,4,-18.025146782132122,-29.20710173061219,-7.925514640698964,-11.707948547782188,-0.3581378614200564,-0.5899155062525274,-0.13905157192252193,0,0,4
MT-Controlled,False,cross_drafter,DFlash2-Pairwise-K16-B64,Raw-DFlash,64,,4,11.152128150107938,-13.873459376693148,26.640966570324668,16.694517519426917,0.1976791806049532,-0.30846438978637114,0.5175575536247587,3,0,1
MT-Controlled,False,cross_drafter,DFlash2-Pairwise-K16-B64,DFlash-Original-DDTree-B64,64,64,4,-28.188236480614535,-62.156537106984125,-2.0359898599825677,-13.48467854642302,-0.5546498651683927,-1.2237502437190586,-0.03835064697552926,1,0,3
