dataset,is_primary,comparison_type,left_method,right_method,prompts,matched_tokens_gain,committed_tokens_gain,target_calls_avoided,draft_stage_ms_per_call_left,draft_stage_ms_per_call_right,draft_stage_ms_per_call_change,tree_overhead_ms_per_call,verify_stage_ms_per_call_left,verify_stage_ms_per_call_right,verify_stage_ms_per_call_change,net_tokens_per_second_gain
MT-Controlled,False,cross_drafter,DFlash2-Pairwise-K16-B32,Raw-DFlash,4,0.2834899509050464,0.23306978283781965,10.0,7.03685682738714,4.336697992975045,2.700158834412095,1.2224264903025794,20.459434564567427,21.301795361570907,-0.8423607970034794,1.8428477062831377
MT-Controlled,False,cross_drafter,DFlash2-Pairwise-K16-B32,DFlash-Original-DDTree-B32,4,-0.570954686222315,-0.6213748542895416,0.25,7.03685682738714,4.23227070252676,2.8045861248603803,0.6970289844624769,20.459434564567427,20.312885376396096,0.14654918817133122,-18.025146782132122
MT-Controlled,False,cross_drafter,DFlash2-Pairwise-K16-B64,Raw-DFlash,4,0.6593073716948727,0.6051595587235302,13.25,6.84494737594148,4.336697992975045,2.5082493829664347,1.854400907925454,20.57129678241653,21.301795361570907,-0.7304985791543785,11.152128150107938
MT-Controlled,False,cross_drafter,DFlash2-Pairwise-K16-B64,DFlash-Original-DDTree-B64,4,-0.4820038205651801,-0.5361516335365226,1.5,6.84494737594148,4.160848898610958,2.6840984773305223,1.2654481393818466,20.57129678241653,20.280802413577636,0.29049436883889257,-28.188236480614535
MT-Native,True,controlled,DFlash2-Pairwise-K16-B16,DFlash2-Original-DDTree-B16,4,0.12663758130089398,0.1088010417538281,1.0,7.218193429435145,7.234718881152773,-0.016525451717628314,0.10816382773893773,20.864737488878554,20.944149580242957,-0.07941209136440364,1.5151404055859246
MT-Native,False,controlled,DFlash2-Pairwise-K16-B7,DFlash2-Original-DDTree-B7,4,0.0773913259961801,0.07323431734291641,2.0,7.285598120714667,7.361038282717168,-0.0754401620025007,0.06937397292166886,20.72746593990542,20.99436531870542,-0.26689937879999803,2.6647970802948855
MT-Native,False,controlled,DFlash2-Pairwise-K16-B32,DFlash2-Original-DDTree-B32,4,0.13883256201031124,0.12672938740713702,0.5,7.160499126768182,7.194418001568922,-0.033918874800739296,-0.1633572226130644,20.89847380435024,20.897528808124584,0.000944996225655359,3.7561455287066856
MT-Native,False,controlled,DFlash2-Pairwise-K16-B64,DFlash2-Original-DDTree-B64,4,0.18153546659738623,0.15058841120180133,1.75,6.995582471597626,7.016600855711127,-0.021018384113501654,-1.4420315782833175,20.895641151174804,20.83749306628303,0.05814808489177281,9.784903317883053
MT-Native,False,controlled,DFlash2-Pairwise-K16-B7,Raw-DFlash2,4,0.31206684110206495,0.3096096218807888,5.75,7.285598120714667,6.7262227926975156,0.5593753280171514,0.744542651323665,20.72746593990542,21.898752385655186,-1.1712864457497645,7.905244204504772
MT-Native,False,controlled,DFlash2-Pairwise-K16-B32,DFlash2-Unary-K16-B32,4,0.07960053586652038,0.07525879917184286,0.0,7.160499126768182,7.226072359885128,-0.06557323311694585,0.12418741212742068,20.89847380435024,21.156161959909888,-0.25768815555964864,3.0185561709379805
MT-Native,False,controlled,DFlash2-Pairwise-K16-B64,DFlash2-Unary-K16-B64,4,0.1931841006810408,0.162014228886169,1.75,6.995582471597626,7.007216569131117,-0.011634097533491428,0.15441297757297656,20.895641151174804,20.864718888896242,0.030922262278561874,4.4682342411106575
MT-Native,False,cross_drafter,DFlash2-Pairwise-K16-B16,Raw-DFlash,4,-0.00409724809519596,-0.051131782629730727,7.25,7.218193429435145,4.362598058345158,2.8555953710899864,0.919402437389769,20.864737488878554,21.402189841495954,-0.5374523526174002,-8.28036588115637
MT-Native,False,cross_drafter,DFlash2-Pairwise-K16-B16,DFlash-Original-DDTree-B16,4,-0.6315160748984279,-0.6785506094329625,-0.5,7.218193429435145,4.280665223068075,2.9375282063670696,0.4344424779857018,20.864737488878554,20.46087208260603,0.4038654062725229,-23.565081988605307
MT-Native,False,cross_drafter,DFlash2-Pairwise-K16-B32,Raw-DFlash,4,0.2834899509050464,0.23306978283781965,10.0,7.160499126768182,4.362598058345158,2.797901068423024,1.2226004339274854,20.89847380435024,21.402189841495954,-0.5037160371457148,0.18551826220221201
MT-Native,False,cross_drafter,DFlash2-Pairwise-K16-B32,DFlash-Original-DDTree-B32,4,-0.570954686222315,-0.6213748542895416,0.25,7.160499126768182,4.252584421034366,2.907914705733816,0.699226257075635,20.89847380435024,20.379237735882164,0.519236068468075,-19.775190283685042
MT-Native,False,cross_drafter,DFlash2-Pairwise-K16-B64,Raw-DFlash,4,0.6593073716948727,0.6051595587235302,13.25,6.995582471597626,4.362598058345158,2.6329844132524673,1.8397046150773155,20.895641151174804,21.402189841495954,-0.50654869032115,9.839181887302505
MT-Native,False,cross_drafter,DFlash2-Pairwise-K16-B64,DFlash-Original-DDTree-B64,4,-0.4820038205651801,-0.5361516335365226,1.5,6.995582471597626,4.174975122499189,2.8206073490984362,1.2449290407189604,20.895641151174804,20.287018193493736,0.6086229576810673,-29.59769667494356
