dataset,family,method,method_key,budget,prompts,mean_end_to_end_tokens_per_second,mean_decode_only_tokens_per_second,speedup_vs_baseline_end_to_end,speedup_vs_baseline_decode_only,mean_matched_tokens_per_round,mean_committed_tokens_per_round,mean_target_calls,mean_ttft_ms,mean_total_generation_time_s,peak_allocated_gib,peak_reserved_gib,timing_source_runner_fraction
MATH500,original,Sequential-Baseline,baseline,,4,52.609050144816706,53.697652801627186,nan,nan,0.0,1.0,64.0,24.72992950004027,1.2166095277500233,8.621052265167236,8.744140625,1.0
MATH500,original,Raw-DFlash,dflash,,4,355.2440680809922,423.1439257341792,6.770721118593932,7.889365000495937,10.05625,11.05625,6.75,22.4019029999738,0.20385120599999595,8.659310817718506,8.744140625,1.0
MATH500,original,DFlash-Original-DDTree-B16,ddtree_tb16,16,4,359.73843092481815,425.50328504684614,6.853389336487271,7.931244983197124,10.55,11.55,6.25,22.11585275000516,0.1931213997499981,8.666758060455322,8.744140625,1.0
MATH500,original,DFlash-Original-DDTree-B32,ddtree_tb32,32,4,367.64556552127806,436.18789128144,7.001836751501492,8.129785368205468,10.710714285714285,11.710714285714285,6.0,20.405278499993074,0.18340822399997592,8.66947603225708,8.744140625,1.0
MATH500,original,DFlash-Original-DDTree-B64,ddtree_tb64,64,4,380.02872364696793,446.5838233060729,7.236212560115373,8.322469880661647,11.55,12.55,5.75,19.209996999990153,0.17576228199999377,8.692420959472656,8.744140625,1.0
MATH500,dflash2,Sequential-Baseline,baseline,,4,52.84742399310784,53.68849758067205,nan,nan,0.0,1.0,64.0,18.9624587500532,1.2111058887500405,10.247939109802246,10.361328125,1.0
MATH500,dflash2,Raw-DFlash2,dflash2,,4,183.66879716365344,204.2225263779103,3.4764595217416043,3.8051188707254386,4.666083916083917,5.604895104895105,11.5,25.452247499998748,0.3545431212500034,10.279070854187012,10.361328125,1.0
MATH500,dflash2,DFlash2-Original-DDTree-B7,dflash2_original_ddtree_tb7,7,4,162.28680735356505,175.68211077607256,3.0712495262656923,3.2725991874287295,4.051190476190476,4.996875,13.0,20.849850249959445,0.40793494599998326,10.28281545639038,10.361328125,1.0
MATH500,dflash2,DFlash2-Original-DDTree-B16,dflash2_original_ddtree_tb16,16,4,169.79389270512797,183.4075010977059,3.2130402601384525,3.4162428103255764,4.428171828171829,5.3433566433566435,12.0,19.602236749989288,0.3817917179999597,10.285033226013184,10.361328125,1.0
MATH500,dflash2,DFlash2-Original-DDTree-B32,dflash2_original_ddtree_tb32,32,4,180.28981247596687,195.52692893127818,3.4121019266236834,3.6425551438549597,4.811538461538461,5.7480769230769235,11.25,19.02049324999666,0.36267644350002115,10.294594287872314,10.361328125,1.0
MATH500,dflash2,DFlash2-Original-DDTree-B64,dflash2_original_ddtree_tb64,64,4,177.24705167465777,191.89228993433295,3.3544914468085327,3.5748320110855327,5.044444444444444,5.95,10.75,19.136564000007183,0.36594926649999593,10.318601608276367,10.361328125,1.0
MATH500,dflash2,DFlash2-Pairwise-K16-B7,dflash2_pairwise_k16_tb7,7,4,186.68442900638567,203.08545233891414,3.533098954722721,3.783403748685089,4.768648018648019,5.705856643356643,11.25,19.07984825001563,0.3493721579999942,10.28281545639038,10.361328125,1.0
MATH500,dflash2,DFlash2-Pairwise-K16-B16,dflash2_pairwise_k16_tb16,16,4,189.46109880895423,207.97079094025486,3.5846958101673483,3.873570507985595,5.137878787878789,6.069318181818182,10.5,22.355737499992756,0.34224792200001275,10.285033226013184,10.361328125,1.0
MATH500,dflash2,DFlash2-Pairwise-K16-B32,dflash2_pairwise_k16_tb32,32,4,197.39999737074945,215.44400512685712,3.7355887895691513,4.0132191793053185,5.432323232323233,6.331818181818182,10.0,19.03817625003512,0.3254503120000152,10.294591903686523,10.361328125,1.0
