dataset,budget,trajectory_method,support_k,depth,observed_rounds,target_token_inclusion,prefix_representability
GSM8K,64,Unary-K64,64,1,6334,0.9996842437638144,0.9996842437638144
GSM8K,64,Unary-K64,64,2,6320,0.9946202531645569,0.9944620253164557
GSM8K,64,Unary-K64,64,3,6307,0.982717615348026,0.9795465355953702
GSM8K,64,Unary-K64,64,4,6288,0.9581743002544529,0.9429071246819338
GSM8K,64,Unary-K64,64,5,6275,0.9454980079681274,0.9110756972111553
GSM8K,64,Unary-K64,64,6,6252,0.9384197056941779,0.877959053103007
GSM8K,64,Unary-K64,64,7,6225,0.9256224899598393,0.8443373493975903
MATH500,8,Unary-K64,16,1,18199,0.9970328040002198,0.9970328040002198
MATH500,8,Unary-K64,16,2,18178,0.9822862801188249,0.9809109913081747
MATH500,8,Unary-K64,16,3,18161,0.9553989317768845,0.9446065745278344
MATH500,8,Unary-K64,16,4,18149,0.9257259353132404,0.8964130255110474
MATH500,8,Unary-K64,16,5,18131,0.9002261320390491,0.8440792013678231
MATH500,8,Unary-K64,16,6,18107,0.8696636659855305,0.7863809576406915
MATH500,8,Unary-K64,16,7,18078,0.8417966589224471,0.7270162628609359
MATH500,8,Unary-K64,32,1,18199,0.9983515577778999,0.9983515577778999
MATH500,8,Unary-K64,32,2,18178,0.9907030476400044,0.9899878974584663
MATH500,8,Unary-K64,32,3,18161,0.9734596112548869,0.9670172347337702
MATH500,8,Unary-K64,32,4,18149,0.954708248388341,0.9336602567634581
MATH500,8,Unary-K64,32,5,18131,0.9359108708841212,0.8943246373614252
MATH500,8,Unary-K64,32,6,18107,0.9193682001435909,0.8524879880709118
MATH500,8,Unary-K64,32,7,18078,0.8996570417081535,0.8058413541320942
MATH500,8,Unary-K64,64,1,18199,0.9988460904445299,0.9988460904445299
MATH500,8,Unary-K64,64,2,18178,0.9954890527010672,0.9948839256243811
MATH500,8,Unary-K64,64,3,18161,0.9849127250702053,0.9813886900501074
MATH500,8,Unary-K64,64,4,18149,0.9738277591051848,0.9608242878395504
MATH500,8,Unary-K64,64,5,18131,0.9619436324527053,0.934366554519883
MATH500,8,Unary-K64,64,6,18107,0.9525597835091401,0.9046225216766997
MATH500,8,Unary-K64,64,7,18078,0.9394291403916363,0.8706162186082531
MATH500,16,Unary-K64,16,1,16724,0.9971896675436498,0.9971896675436498
MATH500,16,Unary-K64,16,2,16708,0.9828225999521187,0.9819248264304524
MATH500,16,Unary-K64,16,3,16689,0.9594343579603332,0.9494277667924981
MATH500,16,Unary-K64,16,4,16678,0.9269696606307711,0.9013071111644082
MATH500,16,Unary-K64,16,5,16665,0.9013501350135014,0.8482448244824482
MATH500,16,Unary-K64,16,6,16641,0.8701400156240611,0.7885944354305631
MATH500,16,Unary-K64,16,7,16611,0.8459454578291493,0.7323460357594365
MATH500,16,Unary-K64,32,1,16724,0.9985649366180339,0.9985649366180339
MATH500,16,Unary-K64,32,2,16708,0.9907230069427819,0.9903040459660043
MATH500,16,Unary-K64,32,3,16689,0.9759122775480855,0.9693211097129846
MATH500,16,Unary-K64,32,4,16678,0.956769396810169,0.9382419954430987
MATH500,16,Unary-K64,32,5,16665,0.9404140414041404,0.9005100510051005
MATH500,16,Unary-K64,32,6,16641,0.9188149750615948,0.8553572501652545
MATH500,16,Unary-K64,32,7,16611,0.9037384865450605,0.8105472277406538
