dataset,budget,trajectory_method,support_k,depth,observed_rounds,target_token_inclusion,prefix_representability
GSM8K,64,Unary-K64,64,4,6288,0.9581743002544529,0.9429071246819338
GSM8K,64,Unary-K64,64,5,6275,0.9454980079681274,0.9110756972111553
GSM8K,64,Unary-K64,64,6,6252,0.9384197056941779,0.877959053103007
GSM8K,64,Unary-K64,64,7,6225,0.9256224899598393,0.8443373493975903
GSM8K,64,Pairwise-K16,16,1,5837,0.9979441493918109,0.9979441493918109
GSM8K,64,Pairwise-K16,16,2,5818,0.9769680302509454,0.9757648676521141
GSM8K,64,Pairwise-K16,16,3,5801,0.953456300637821,0.9419065678331322
GSM8K,64,Pairwise-K16,16,4,5783,0.9125021615078679,0.8837973370223068
GSM8K,64,Pairwise-K16,16,5,5768,0.8893897364771152,0.830617198335645
GSM8K,64,Pairwise-K16,16,6,5752,0.8610917941585535,0.7719054242002782
GSM8K,64,Pairwise-K16,16,7,5734,0.8294384373910011,0.7064876177188699
MATH500,8,Unary-K16,16,1,17972,0.9971066102826619,0.9971066102826619
MATH500,8,Unary-K16,16,2,17953,0.9818971759594497,0.9805603520303013
MATH500,8,Unary-K16,16,3,17937,0.956291464570441,0.945029826615376
MATH500,8,Unary-K16,16,4,17926,0.9288742608501618,0.8989735579605043
MATH500,8,Unary-K16,16,5,17911,0.9040254592150075,0.8481380157445145
MATH500,8,Unary-K16,16,6,17885,0.874308079396142,0.7926195135588482
MATH500,8,Unary-K16,16,7,17859,0.8485917464583683,0.7346995912425108
MATH500,8,Unary-K32,32,1,18213,0.9984077307417778,0.9984077307417778
MATH500,8,Unary-K32,32,2,18193,0.9898862199747156,0.98928159182103
MATH500,8,Unary-K32,32,3,18175,0.97353507565337,0.9664924346629986
MATH500,8,Unary-K32,32,4,18166,0.9551910161840802,0.9337773863261037
MATH500,8,Unary-K32,32,5,18147,0.9372348046509065,0.8948035487959443
MATH500,8,Unary-K32,32,6,18123,0.9197704574297854,0.8528389339513326
MATH500,8,Unary-K32,32,7,18093,0.9023931907367491,0.8075498811695131
MATH500,8,Unary-K64,64,1,18199,0.9988460904445299,0.9988460904445299
MATH500,8,Unary-K64,64,2,18178,0.9954890527010672,0.9948839256243811
MATH500,8,Unary-K64,64,3,18161,0.9849127250702053,0.9813886900501074
MATH500,8,Unary-K64,64,4,18149,0.9738277591051848,0.9608242878395504
MATH500,8,Unary-K64,64,5,18131,0.9619436324527053,0.934366554519883
MATH500,8,Unary-K64,64,6,18107,0.9525597835091401,0.9046225216766997
MATH500,8,Unary-K64,64,7,18078,0.9394291403916363,0.8706162186082531
MATH500,8,Pairwise-K16,16,1,16347,0.9972472013213434,0.9972472013213434
MATH500,8,Pairwise-K16,16,2,16332,0.9820597599804065,0.980835170217977
MATH500,8,Pairwise-K16,16,3,16307,0.9572576194272399,0.9469552952719691
MATH500,8,Pairwise-K16,16,4,16289,0.927312910553134,0.8987046473079993
MATH500,8,Pairwise-K16,16,5,16272,0.9012413962635202,0.845562930186824
MATH500,8,Pairwise-K16,16,6,16255,0.8713011381113503,0.7881882497693018
MATH500,8,Pairwise-K16,16,7,16234,0.8447086361956387,0.7316742638906
MATH500,16,Unary-K16,16,1,16606,0.9970492593038661,0.9970492593038661
MATH500,16,Unary-K16,16,2,16592,0.9822203471552555,0.9810752169720347
MATH500,16,Unary-K16,16,3,16572,0.9587255611875453,0.9481655804972242
MATH500,16,Unary-K16,16,4,16558,0.925413697306438,0.8996859524097113
MATH500,16,Unary-K16,16,5,16546,0.9010032636286716,0.8467907651396108
MATH500,16,Unary-K16,16,6,16516,0.8693993703075805,0.7876604504722693
MATH500,16,Unary-K16,16,7,16489,0.8485657104736491,0.7329734974831706
MATH500,16,Unary-K32,32,1,16298,0.998588783899865,0.998588783899865
MATH500,16,Unary-K32,32,2,16281,0.9901725938210184,0.989742644800688
MATH500,16,Unary-K32,32,3,16266,0.9750399606541251,0.9682773884175581
MATH500,16,Unary-K32,32,4,16252,0.9561284764952006,0.9369308392813193
MATH500,16,Unary-K32,32,5,16240,0.9418103448275862,0.9008004926108374
MATH500,16,Unary-K32,32,6,16214,0.919452325151104,0.8556186012088318
MATH500,16,Unary-K32,32,7,16183,0.9050237903973305,0.810480133473398
MATH500,16,Unary-K64,64,1,16724,0.9991628796938531,0.9991628796938531
MATH500,16,Unary-K64,64,2,16708,0.9952118745511133,0.9948527651424467
MATH500,16,Unary-K64,64,3,16689,0.9872371022829408,0.983402240997064
MATH500,16,Unary-K64,64,4,16678,0.9728384698405085,0.9618059719390815
MATH500,16,Unary-K64,64,5,16665,0.9626162616261627,0.935973597359736
MATH500,16,Unary-K64,64,6,16641,0.9498828195420949,0.9031909140075717
MATH500,16,Unary-K64,64,7,16611,0.9436517970019866,0.8723135271807838
MATH500,16,Pairwise-K16,16,1,15503,0.9961942849771012,0.9961942849771012
MATH500,16,Pairwise-K16,16,2,15489,0.9837949512557299,0.9818580928400801
MATH500,16,Pairwise-K16,16,3,15469,0.9577865408235826,0.9481543732626544
MATH500,16,Pairwise-K16,16,4,15451,0.9279011067244839,0.9000711928030548
MATH500,16,Pairwise-K16,16,5,15435,0.8991253644314868,0.8466472303206997
MATH500,16,Pairwise-K16,16,6,15409,0.8747485235901097,0.7921993640080472
MATH500,16,Pairwise-K16,16,7,15390,0.8481481481481481,0.735672514619883
MATH500,32,Unary-K16,16,1,15986,0.99693481796572,0.99693481796572
MATH500,32,Unary-K16,16,2,15971,0.9833448124726066,0.9820299292467598
MATH500,32,Unary-K16,16,3,15961,0.9567696259632855,0.9468078441200426
MATH500,32,Unary-K16,16,4,15946,0.9286968518750784,0.900664743509344
MATH500,32,Unary-K16,16,5,15931,0.9037725189881364,0.8489109283786328
MATH500,32,Unary-K16,16,6,15903,0.871848078978809,0.7909199522102748
MATH500,32,Unary-K16,16,7,15874,0.8455965730124733,0.7342824744865818
MATH500,32,Unary-K32,32,1,15698,0.9983437380558033,0.9983437380558033
MATH500,32,Unary-K32,32,2,15684,0.9908186687069626,0.9904361132364193
MATH500,32,Unary-K32,32,3,15672,0.975816743236345,0.9699464012251149
MATH500,32,Unary-K32,32,4,15659,0.9541477744428124,0.9365221278497988
MATH500,32,Unary-K32,32,5,15646,0.941326856704589,0.9000383484596702
MATH500,32,Unary-K32,32,6,15618,0.9187475989243181,0.8546548853886541
MATH500,32,Unary-K32,32,7,15590,0.9039769082745349,0.8098139833226428
MATH500,32,Unary-K64,64,1,16238,0.9991994087941864,0.9991994087941864
MATH500,32,Unary-K64,64,2,16224,0.9956854043392505,0.9955004930966469
MATH500,32,Unary-K64,64,3,16211,0.9866140275121831,0.9838381345999629
MATH500,32,Unary-K64,64,4,16198,0.9715396962587974,0.9604889492529942
MATH500,32,Unary-K64,64,5,16180,0.9632262051915945,0.9348578491965389
MATH500,32,Unary-K64,64,6,16157,0.9526521012564214,0.9051185244785542
MATH500,32,Unary-K64,64,7,16129,0.9409758819517638,0.8720317440634882
MATH500,32,Pairwise-K16,16,1,14744,0.9971513836136734,0.9971513836136734
MATH500,32,Pairwise-K16,16,2,14733,0.9830312903006856,0.9818095432023349
MATH500,32,Pairwise-K16,16,3,14720,0.9597146739130434,0.95
MATH500,32,Pairwise-K16,16,4,14706,0.930436556507548,0.9043247654018768
MATH500,32,Pairwise-K16,16,5,14683,0.905877545460737,0.8556153374650957
MATH500,32,Pairwise-K16,16,6,14658,0.8768590530768181,0.8010642652476463
MATH500,32,Pairwise-K16,16,7,14629,0.854535511654932,0.7465992207259553
MATH500,64,Unary-K16,16,1,15847,0.9972234492332933,0.9972234492332933
MATH500,64,Unary-K16,16,2,15836,0.9826976509219499,0.9816872947714069
MATH500,64,Unary-K16,16,3,15818,0.9604880515867998,0.9501201163231762
MATH500,64,Unary-K16,16,4,15802,0.929755727123149,0.9029869636754841
MATH500,64,Unary-K16,16,5,15789,0.9066438659826461,0.8547723098359618
MATH500,64,Unary-K16,16,6,15761,0.8760865427320601,0.7982996002791701
MATH500,64,Unary-K16,16,7,15743,0.8503461856063013,0.7417264816108746
MATH500,64,Unary-K32,32,1,15635,0.998592900543652,0.998592900543652
MATH500,64,Unary-K32,32,2,15624,0.9905913978494624,0.9901433691756273
MATH500,64,Unary-K32,32,3,15605,0.9770586350528677,0.9703941044537008
MATH500,64,Unary-K32,32,4,15594,0.9570347569578043,0.9377324612030268
MATH500,64,Unary-K32,32,5,15579,0.9426792477052442,0.9028178958854869
MATH500,64,Unary-K32,32,6,15548,0.9210830975045022,0.8585027013120659
MATH500,64,Unary-K32,32,7,15528,0.9048171045852653,0.8149149922720247
MATH500,64,Unary-K64,64,1,15612,0.9989751473225724,0.9989751473225724
MATH500,64,Unary-K64,64,2,15601,0.9945516313056856,0.9941670405743221
MATH500,64,Unary-K64,64,3,15583,0.9878072258230123,0.9833793236218956
MATH500,64,Unary-K64,64,4,15566,0.973724784787357,0.9617114223307208
MATH500,64,Unary-K64,64,5,15550,0.9648874598070739,0.9369774919614148
MATH500,64,Unary-K64,64,6,15524,0.9544576140170059,0.9080133986086061
MATH500,64,Unary-K64,64,7,15507,0.9433804088476172,0.876507383762172
MATH500,64,Pairwise-K16,16,1,14258,0.9969841492495441,0.9969841492495441
MATH500,64,Pairwise-K16,16,2,14250,0.9850526315789474,0.983719298245614
MATH500,64,Pairwise-K16,16,3,14232,0.9603709949409781,0.9515879707700956
MATH500,64,Pairwise-K16,16,4,14214,0.9312649500492473,0.9056563951034191
MATH500,64,Pairwise-K16,16,5,14193,0.905657718593673,0.8563376312266611
MATH500,64,Pairwise-K16,16,6,14175,0.8797883597883598,0.8032451499118166
MATH500,64,Pairwise-K16,16,7,14149,0.8531344971376069,0.7487454943812284
