dataset,family,method,method_key,budget,prompts,mean_end_to_end_tokens_per_second,mean_decode_only_tokens_per_second,speedup_vs_baseline_end_to_end,speedup_vs_baseline_decode_only,mean_matched_tokens_per_round,mean_committed_tokens_per_round,mean_target_calls,mean_ttft_ms,mean_total_generation_time_s,peak_allocated_gib,peak_reserved_gib,timing_source_runner_fraction
GSM8K,dflash2,DFlash2-Pairwise-K16-B64,dflash2_pairwise_k16_tb64,64,128,189.01682408132916,193.6414061421561,3.8030715226063054,3.87918631486475,5.3956628590755,6.372164408386669,37.3203125,20.495836973954813,1.2643950384661644,10.347713470458984,10.416015625,1.0
GSM8K,dflash2,DFlash2-Unary-K16-B32,dflash2_unary_k16_tb32,32,128,171.1391764635637,174.92163604341954,3.443420624940434,3.5042285684923424,4.6669843396042,5.645296631565655,42.265625,20.54584903644259,1.4009392138723626,10.315015316009521,10.416015625,1.0
GSM8K,dflash2,DFlash2-Unary-K16-B64,dflash2_unary_k16_tb64,64,128,173.7599961572075,177.64595084904198,3.4956284619087272,3.558264707777653,4.837121578090851,5.815596799242812,41.0078125,20.490532137955597,1.3791216506353787,10.348026275634766,10.416015625,1.0
HumanEval,original,Sequential-Baseline,baseline,,164,51.91119359335576,52.122257103437555,nan,nan,0.0,1.0,254.1951219512195,19.801689394256297,4.900164723380004,8.686330318450928,8.92578125,1.0
HumanEval,original,Raw-DFlash,dflash,,164,240.5982412184671,246.77627123997246,4.633757283173956,4.733472021139972,5.692415684450143,6.692415684450143,40.81707317073171,19.967044479623535,1.115399020520294,8.752349376678467,8.92578125,1.0
HumanEval,original,DFlash-Original-DDTree-B16,ddtree_tb16,16,164,266.86808315439464,274.3730547206412,5.140119984546478,5.263292267487419,6.59133547068281,7.59133547068281,35.50609756097561,20.053085357679123,0.9902774347154825,8.757383823394775,8.92578125,1.0
HumanEval,original,DFlash-Original-DDTree-B32,ddtree_tb32,32,164,288.3738580563767,297.15456942902483,5.553719487080645,5.6996219575956895,7.287729210666601,8.287729210666601,32.579268292682926,20.056369652445394,0.9166313470609975,8.760114669799805,8.92578125,1.0
HumanEval,original,DFlash-Original-DDTree-B64,ddtree_tb64,64,164,302.6781862716144,312.2190513036473,5.829273699096815,5.988642828807522,7.674757516247388,8.674757516247388,30.902439024390244,19.86136994917142,0.8673057174247977,8.779261112213135,8.92578125,1.0
HumanEval,dflash2,Sequential-Baseline,baseline,,164,49.11508490597621,49.31134340724946,nan,nan,0.0,1.0,254.1951219512195,20.58161549787959,5.18394425138795,10.317399978637695,10.5546875,1.0
HumanEval,dflash2,Raw-DFlash2,dflash2,,164,135.43554113687287,137.60685699349722,2.757381367932055,2.7904430285339377,3.226806785522902,4.21404931250941,61.38414634146341,20.885689892240656,1.919227451522513,10.372722625732422,10.5546875,1.0
