dataset,is_primary,comparison_type,left_method,right_method,left_budget,right_budget,prompts,mean_tokens_per_second_diff,tokens_per_second_diff_ci_low,tokens_per_second_diff_ci_high,mean_relative_pct_diff,mean_baseline_normalized_speedup_diff,baseline_normalized_speedup_diff_ci_low,baseline_normalized_speedup_diff_ci_high,improve_prompts,tie_prompts,hurt_prompts
HumanEval,False,cross_drafter,DFlash2-Pairwise-K16-B16,DFlash-Original-DDTree-B16,16,16,164,-110.43128399150471,-116.72284355663363,-104.16665708090751,-40.09101184497454,-1.9546648379641312,-2.0724237277330078,-1.8348917434776417,0,0,164
HumanEval,False,cross_drafter,DFlash2-Pairwise-K16-B32,Raw-DFlash,32,,164,-75.48759713620206,-82.50591564236747,-68.55077310276782,-28.83421387232932,-1.271672431119281,-1.404367843042199,-1.1434854451112568,2,0,162
HumanEval,False,cross_drafter,DFlash2-Pairwise-K16-B32,DFlash-Original-DDTree-B32,32,32,164,-123.26321397411168,-130.12850368454417,-116.46011432033151,-41.4416859446065,-2.19163463502597,-2.3234500324973215,-2.0649456033875953,0,0,164
HumanEval,False,cross_drafter,DFlash2-Pairwise-K16-B64,Raw-DFlash,64,,164,-69.52621606435959,-76.80511166599761,-62.52465387645378,-26.100742714889876,-1.1508268109304756,-1.2874722292575156,-1.0178624340422537,5,0,159
HumanEval,False,cross_drafter,DFlash2-Pairwise-K16-B64,DFlash-Original-DDTree-B64,64,64,164,-131.60616111750687,-138.23594916351084,-125.0909111788891,-42.38506936936951,-2.3463432268533353,-2.4713990779535586,-2.2234305191479584,0,0,164
HumanEval,False,within_family_vs_sequential,Raw-DFlash,Sequential-Baseline,,,164,188.6870476251113,180.24423280503018,197.50166544675153,363.37572831739567,nan,nan,nan,164,0,0
HumanEval,False,within_family_vs_sequential,DFlash-Original-DDTree-B16,Sequential-Baseline,16,,164,214.95688956103888,206.62274495561007,223.16959249549978,414.01199845464777,nan,nan,nan,164,0,0
HumanEval,False,within_family_vs_sequential,DFlash-Original-DDTree-B32,Sequential-Baseline,32,,164,236.46266446302093,227.86738039937958,245.39607052125154,455.3719487080645,nan,nan,nan,164,0,0
HumanEval,False,within_family_vs_sequential,DFlash-Original-DDTree-B64,Sequential-Baseline,64,,164,250.7669926782586,242.45064310801718,259.2983742639045,482.9273699096815,nan,nan,nan,164,0,0
HumanEval,False,controlled,DFlash-Original-DDTree-B16,Raw-DFlash,16,,164,26.269841935927534,23.68994571109021,28.885880707274033,12.152824239007925,nan,nan,nan,154,0,10
HumanEval,False,controlled,DFlash-Original-DDTree-B32,Raw-DFlash,32,,164,47.77561683790964,44.594708405276855,50.87056391950673,21.369641194338286,nan,nan,nan,161,0,3
