scope,method,budget,depth,N,covered,candidate_failures,ranking_budget_failures,candidate_failure_rate,ranking_budget_failure_rate
realized,Unary-Truncated,16,2,1909,1643,47,219,0.02462022001047669,0.11471974855945521
realized,Unary-Truncated,16,3,1902,1390,142,370,0.07465825446898001,0.19453207150368035
realized,Unary-Truncated,16,4,1898,1175,251,472,0.1322444678609062,0.24868282402528977
realized,Unary-Truncated,16,5,1895,961,357,577,0.18839050131926122,0.30448548812664905
realized,Unary-Truncated,16,6,1895,768,483,644,0.25488126649076515,0.33984168865435355
realized,Unary-Truncated,16,7,1887,589,601,697,0.3184949655537891,0.36936936936936937
realized,Unary-Truncated,32,1,1913,1872,4,37,0.0020909566126502874,0.01934134866701516
realized,Unary-Truncated,32,2,1909,1698,47,164,0.02462022001047669,0.08590885280251441
realized,Unary-Truncated,32,3,1902,1453,142,307,0.07465825446898001,0.16140904311251314
realized,Unary-Truncated,32,4,1898,1242,251,405,0.1322444678609062,0.21338250790305585
realized,Unary-Truncated,32,5,1895,1053,357,485,0.18839050131926122,0.2559366754617414
realized,Unary-Truncated,32,6,1895,881,483,531,0.25488126649076515,0.28021108179419524
realized,Unary-Truncated,32,7,1887,694,601,592,0.3184949655537891,0.3137254901960784
realized,Unary-Truncated,64,1,1913,1886,4,23,0.0020909566126502874,0.012023000522739153
realized,Unary-Truncated,64,2,1909,1745,47,117,0.02462022001047669,0.061288632792037716
realized,Unary-Truncated,64,3,1902,1505,142,255,0.07465825446898001,0.13406940063091483
realized,Unary-Truncated,64,4,1898,1302,251,345,0.1322444678609062,0.18177028451001054
realized,Unary-Truncated,64,5,1895,1117,357,421,0.18839050131926122,0.22216358839050132
realized,Unary-Truncated,64,6,1895,947,483,465,0.25488126649076515,0.24538258575197888
realized,Unary-Truncated,64,7,1887,767,601,519,0.3184949655537891,0.27503974562798095
realized,Unary-Truncated,128,1,1913,1894,4,15,0.0020909566126502874,0.007841087297438577
realized,Unary-Truncated,128,2,1909,1768,47,94,0.02462022001047669,0.04924044002095338
realized,Unary-Truncated,128,3,1902,1555,142,205,0.07465825446898001,0.10778128286014721
realized,Unary-Truncated,128,4,1898,1349,251,298,0.1322444678609062,0.15700737618545837
realized,Unary-Truncated,128,5,1895,1183,357,355,0.18839050131926122,0.18733509234828497
realized,Unary-Truncated,128,6,1895,1005,483,407,0.25488126649076515,0.21477572559366753
realized,Unary-Truncated,128,7,1887,830,601,456,0.3184949655537891,0.24165341812400637
realized,Unary-Truncated,256,1,1913,1901,4,8,0.0020909566126502874,0.004181913225300575
realized,Unary-Truncated,256,2,1909,1790,47,72,0.02462022001047669,0.03771608171817706
realized,Unary-Truncated,256,3,1902,1587,142,173,0.07465825446898001,0.09095688748685594
realized,Unary-Truncated,256,4,1898,1391,251,256,0.1322444678609062,0.13487881981032665
realized,Unary-Truncated,256,5,1895,1224,357,314,0.18839050131926122,0.16569920844327177
realized,Unary-Truncated,256,6,1895,1058,483,354,0.25488126649076515,0.18680738786279683
realized,Unary-Truncated,256,7,1887,881,601,405,0.3184949655537891,0.21462639109697934
realized,Pairwise-MassPreserving,1,1,1913,1694,4,215,0.0020909566126502874,0.11238891792995295
realized,Pairwise-MassPreserving,1,2,1909,0,47,1862,0.02462022001047669,0.9753797799895233
realized,Pairwise-MassPreserving,1,3,1902,0,142,1760,0.07465825446898001,0.92534174553102
realized,Pairwise-MassPreserving,1,4,1898,0,251,1647,0.1322444678609062,0.8677555321390937
realized,Pairwise-MassPreserving,1,5,1895,0,357,1538,0.18839050131926122,0.8116094986807388
realized,Pairwise-MassPreserving,1,6,1895,0,483,1412,0.25488126649076515,0.7451187335092349
realized,Pairwise-MassPreserving,1,7,1887,0,601,1286,0.3184949655537891,0.6815050344462109
realized,Pairwise-MassPreserving,2,1,1913,1731,4,178,0.0020909566126502874,0.0930475692629378
realized,Pairwise-MassPreserving,2,2,1909,1428,47,434,0.02462022001047669,0.22734415924567836
realized,Pairwise-MassPreserving,2,3,1902,0,142,1760,0.07465825446898001,0.92534174553102
realized,Pairwise-MassPreserving,2,4,1898,0,251,1647,0.1322444678609062,0.8677555321390937
realized,Pairwise-MassPreserving,2,5,1895,0,357,1538,0.18839050131926122,0.8116094986807388
realized,Pairwise-MassPreserving,2,6,1895,0,483,1412,0.25488126649076515,0.7451187335092349
realized,Pairwise-MassPreserving,2,7,1887,0,601,1286,0.3184949655537891,0.6815050344462109
realized,Pairwise-MassPreserving,4,1,1913,1768,4,141,0.0020909566126502874,0.07370622059592263
realized,Pairwise-MassPreserving,4,2,1909,1527,47,335,0.02462022001047669,0.1754845468831849
realized,Pairwise-MassPreserving,4,3,1902,1210,142,550,0.07465825446898001,0.2891692954784437
realized,Pairwise-MassPreserving,4,4,1898,959,251,688,0.1322444678609062,0.3624868282402529
realized,Pairwise-MassPreserving,4,5,1895,0,357,1538,0.18839050131926122,0.8116094986807388
realized,Pairwise-MassPreserving,4,6,1895,0,483,1412,0.25488126649076515,0.7451187335092349
realized,Pairwise-MassPreserving,4,7,1887,0,601,1286,0.3184949655537891,0.6815050344462109
realized,Pairwise-MassPreserving,7,1,1913,1817,4,92,0.0020909566126502874,0.04809200209095661
realized,Pairwise-MassPreserving,7,2,1909,1612,47,250,0.02462022001047669,0.13095861707700368
realized,Pairwise-MassPreserving,7,3,1902,1348,142,412,0.07465825446898001,0.21661409043112514
realized,Pairwise-MassPreserving,7,4,1898,1103,251,544,0.1322444678609062,0.28661749209694415
realized,Pairwise-MassPreserving,7,5,1895,853,357,685,0.18839050131926122,0.36147757255936674
realized,Pairwise-MassPreserving,7,6,1895,651,483,761,0.25488126649076515,0.40158311345646436
realized,Pairwise-MassPreserving,7,7,1887,482,601,804,0.3184949655537891,0.4260731319554849
realized,Pairwise-MassPreserving,8,1,1913,1827,4,82,0.0020909566126502874,0.04286461055933089
realized,Pairwise-MassPreserving,8,2,1909,1632,47,230,0.02462022001047669,0.12048192771084337
realized,Pairwise-MassPreserving,8,3,1902,1392,142,368,0.07465825446898001,0.19348054679284962
realized,Pairwise-MassPreserving,8,4,1898,1146,251,501,0.1322444678609062,0.26396206533192834
realized,Pairwise-MassPreserving,8,5,1895,914,357,624,0.18839050131926122,0.32928759894459103
realized,Pairwise-MassPreserving,8,6,1895,702,483,710,0.25488126649076515,0.37467018469656993
realized,Pairwise-MassPreserving,8,7,1887,537,601,749,0.3184949655537891,0.3969263381028087
realized,Pairwise-MassPreserving,16,1,1913,1857,4,52,0.0020909566126502874,0.027182435964453737
realized,Pairwise-MassPreserving,16,2,1909,1726,47,136,0.02462022001047669,0.07124148768989
realized,Pairwise-MassPreserving,16,3,1902,1521,142,239,0.07465825446898001,0.1256572029442692
realized,Pairwise-MassPreserving,16,4,1898,1327,251,320,0.1322444678609062,0.16859852476290832
realized,Pairwise-MassPreserving,16,5,1895,1114,357,424,0.18839050131926122,0.2237467018469657
realized,Pairwise-MassPreserving,16,6,1895,920,483,492,0.25488126649076515,0.2596306068601583
realized,Pairwise-MassPreserving,16,7,1887,753,601,533,0.3184949655537891,0.28245892951775303
realized,Pairwise-MassPreserving,32,1,1913,1873,4,36,0.0020909566126502874,0.01881860951385259
realized,Pairwise-MassPreserving,32,2,1909,1771,47,91,0.02462022001047669,0.047668936616029334
realized,Pairwise-MassPreserving,32,3,1902,1589,142,171,0.07465825446898001,0.08990536277602523
realized,Pairwise-MassPreserving,32,4,1898,1416,251,231,0.1322444678609062,0.12170706006322445
realized,Pairwise-MassPreserving,32,5,1895,1238,357,300,0.18839050131926122,0.158311345646438
realized,Pairwise-MassPreserving,32,6,1895,1066,483,346,0.25488126649076515,0.18258575197889182
realized,Pairwise-MassPreserving,32,7,1887,886,601,400,0.3184949655537891,0.21197668256491786
realized,Pairwise-MassPreserving,64,1,1913,1894,4,15,0.0020909566126502874,0.007841087297438577
realized,Pairwise-MassPreserving,64,2,1909,1815,47,47,0.02462022001047669,0.02462022001047669
realized,Pairwise-MassPreserving,64,3,1902,1648,142,112,0.07465825446898001,0.058885383806519455
realized,Pairwise-MassPreserving,64,4,1898,1483,251,164,0.1322444678609062,0.08640674394099052
realized,Pairwise-MassPreserving,64,5,1895,1329,357,209,0.18839050131926122,0.11029023746701846
realized,Pairwise-MassPreserving,64,6,1895,1155,483,257,0.25488126649076515,0.13562005277044856
realized,Pairwise-MassPreserving,64,7,1887,1002,601,284,0.3184949655537891,0.1505034446210917
realized,Pairwise-MassPreserving,128,1,1913,1903,4,6,0.0020909566126502874,0.0031364349189754314
realized,Pairwise-MassPreserving,128,2,1909,1837,47,25,0.02462022001047669,0.013095861707700367
