scope,method,budget,depth,N,covered,candidate_failures,ranking_budget_failures,candidate_failure_rate,ranking_budget_failure_rate
direct,Pairwise-after-root,64,2,1690,1657,13,20,0.007692307692307693,0.011834319526627219
direct,Pairwise-after-root,64,3,1434,1387,23,24,0.01603905160390516,0.016736401673640166
direct,Pairwise-after-root,64,4,1198,1160,25,13,0.020868113522537562,0.010851419031719533
direct,Pairwise-after-root,64,5,1023,991,17,15,0.016617790811339198,0.01466275659824047
direct,Pairwise-after-root,64,6,848,818,20,10,0.02358490566037736,0.01179245283018868
direct,Pairwise-after-root,64,7,691,656,23,12,0.03328509406657019,0.017366136034732273
direct,Pairwise-after-root,128,1,1913,1898,4,11,0.0020909566126502874,0.00575013068478829
direct,Pairwise-after-root,128,2,1690,1669,13,8,0.007692307692307693,0.004733727810650888
direct,Pairwise-after-root,128,3,1434,1398,23,13,0.01603905160390516,0.00906555090655509
direct,Pairwise-after-root,128,4,1198,1168,25,5,0.020868113522537562,0.004173622704507512
direct,Pairwise-after-root,128,5,1023,1001,17,5,0.016617790811339198,0.004887585532746823
direct,Pairwise-after-root,128,6,848,821,20,7,0.02358490566037736,0.008254716981132075
direct,Pairwise-after-root,128,7,691,662,23,6,0.03328509406657019,0.008683068017366137
direct,Pairwise-after-root,256,1,1913,1904,4,5,0.0020909566126502874,0.0026136957658128594
direct,Pairwise-after-root,256,2,1690,1674,13,3,0.007692307692307693,0.0017751479289940828
direct,Pairwise-after-root,256,3,1434,1408,23,3,0.01603905160390516,0.0020920502092050207
direct,Pairwise-after-root,256,4,1198,1173,25,0,0.020868113522537562,0.0
direct,Pairwise-after-root,256,5,1023,1004,17,2,0.016617790811339198,0.0019550342130987292
direct,Pairwise-after-root,256,6,848,826,20,2,0.02358490566037736,0.0023584905660377358
direct,Pairwise-after-root,256,7,691,667,23,1,0.03328509406657019,0.001447178002894356
direct,DFlash2-GreedyPath,1,1,1913,1694,4,215,0.0020909566126502874,0.11238891792995295
direct,DFlash2-GreedyPath,1,2,1690,0,13,1677,0.007692307692307693,0.9923076923076923
direct,DFlash2-GreedyPath,1,3,1434,0,23,1411,0.01603905160390516,0.9839609483960948
direct,DFlash2-GreedyPath,1,4,1198,0,25,1173,0.020868113522537562,0.9791318864774624
direct,DFlash2-GreedyPath,1,5,1023,0,17,1006,0.016617790811339198,0.9833822091886608
direct,DFlash2-GreedyPath,1,6,848,0,20,828,0.02358490566037736,0.9764150943396226
direct,DFlash2-GreedyPath,1,7,691,0,23,668,0.03328509406657019,0.9667149059334298
direct,DFlash2-GreedyPath,2,1,1913,1694,4,215,0.0020909566126502874,0.11238891792995295
direct,DFlash2-GreedyPath,2,2,1690,1440,13,237,0.007692307692307693,0.14023668639053255
direct,DFlash2-GreedyPath,2,3,1434,0,23,1411,0.01603905160390516,0.9839609483960948
direct,DFlash2-GreedyPath,2,4,1198,0,25,1173,0.020868113522537562,0.9791318864774624
direct,DFlash2-GreedyPath,2,5,1023,0,17,1006,0.016617790811339198,0.9833822091886608
direct,DFlash2-GreedyPath,2,6,848,0,20,828,0.02358490566037736,0.9764150943396226
direct,DFlash2-GreedyPath,2,7,691,0,23,668,0.03328509406657019,0.9667149059334298
direct,DFlash2-GreedyPath,4,1,1913,1694,4,215,0.0020909566126502874,0.11238891792995295
direct,DFlash2-GreedyPath,4,2,1690,1440,13,237,0.007692307692307693,0.14023668639053255
direct,DFlash2-GreedyPath,4,3,1434,1202,23,209,0.01603905160390516,0.14574616457461645
direct,DFlash2-GreedyPath,4,4,1198,1024,25,149,0.020868113522537562,0.12437395659432388
direct,DFlash2-GreedyPath,4,5,1023,0,17,1006,0.016617790811339198,0.9833822091886608
direct,DFlash2-GreedyPath,4,6,848,0,20,828,0.02358490566037736,0.9764150943396226
direct,DFlash2-GreedyPath,4,7,691,0,23,668,0.03328509406657019,0.9667149059334298
direct,DFlash2-GreedyPath,7,1,1913,1694,4,215,0.0020909566126502874,0.11238891792995295
direct,DFlash2-GreedyPath,7,2,1690,1440,13,237,0.007692307692307693,0.14023668639053255
direct,DFlash2-GreedyPath,7,3,1434,1202,23,209,0.01603905160390516,0.14574616457461645
direct,DFlash2-GreedyPath,7,4,1198,1024,25,149,0.020868113522537562,0.12437395659432388
direct,DFlash2-GreedyPath,7,5,1023,848,17,158,0.016617790811339198,0.1544477028347996
direct,DFlash2-GreedyPath,7,6,848,696,20,132,0.02358490566037736,0.15566037735849056
direct,DFlash2-GreedyPath,7,7,691,568,23,100,0.03328509406657019,0.1447178002894356
direct,DFlash2-GreedyPath,8,1,1913,1694,4,215,0.0020909566126502874,0.11238891792995295
direct,DFlash2-GreedyPath,8,2,1690,1440,13,237,0.007692307692307693,0.14023668639053255
direct,DFlash2-GreedyPath,8,3,1434,1202,23,209,0.01603905160390516,0.14574616457461645
direct,DFlash2-GreedyPath,8,4,1198,1024,25,149,0.020868113522537562,0.12437395659432388
direct,DFlash2-GreedyPath,8,5,1023,848,17,158,0.016617790811339198,0.1544477028347996
direct,DFlash2-GreedyPath,8,6,848,696,20,132,0.02358490566037736,0.15566037735849056
direct,DFlash2-GreedyPath,8,7,691,568,23,100,0.03328509406657019,0.1447178002894356
direct,DFlash2-GreedyPath,16,1,1913,1694,4,215,0.0020909566126502874,0.11238891792995295
direct,DFlash2-GreedyPath,16,2,1690,1440,13,237,0.007692307692307693,0.14023668639053255
direct,DFlash2-GreedyPath,16,3,1434,1202,23,209,0.01603905160390516,0.14574616457461645
direct,DFlash2-GreedyPath,16,4,1198,1024,25,149,0.020868113522537562,0.12437395659432388
direct,DFlash2-GreedyPath,16,5,1023,848,17,158,0.016617790811339198,0.1544477028347996
direct,DFlash2-GreedyPath,16,6,848,696,20,132,0.02358490566037736,0.15566037735849056
direct,DFlash2-GreedyPath,16,7,691,568,23,100,0.03328509406657019,0.1447178002894356
direct,DFlash2-GreedyPath,32,1,1913,1694,4,215,0.0020909566126502874,0.11238891792995295
direct,DFlash2-GreedyPath,32,2,1690,1440,13,237,0.007692307692307693,0.14023668639053255
direct,DFlash2-GreedyPath,32,3,1434,1202,23,209,0.01603905160390516,0.14574616457461645
direct,DFlash2-GreedyPath,32,4,1198,1024,25,149,0.020868113522537562,0.12437395659432388
direct,DFlash2-GreedyPath,32,5,1023,848,17,158,0.016617790811339198,0.1544477028347996
direct,DFlash2-GreedyPath,32,6,848,696,20,132,0.02358490566037736,0.15566037735849056
direct,DFlash2-GreedyPath,32,7,691,568,23,100,0.03328509406657019,0.1447178002894356
direct,DFlash2-GreedyPath,64,1,1913,1694,4,215,0.0020909566126502874,0.11238891792995295
direct,DFlash2-GreedyPath,64,2,1690,1440,13,237,0.007692307692307693,0.14023668639053255
direct,DFlash2-GreedyPath,64,3,1434,1202,23,209,0.01603905160390516,0.14574616457461645
direct,DFlash2-GreedyPath,64,4,1198,1024,25,149,0.020868113522537562,0.12437395659432388
direct,DFlash2-GreedyPath,64,5,1023,848,17,158,0.016617790811339198,0.1544477028347996
direct,DFlash2-GreedyPath,64,6,848,696,20,132,0.02358490566037736,0.15566037735849056
direct,DFlash2-GreedyPath,64,7,691,568,23,100,0.03328509406657019,0.1447178002894356
direct,DFlash2-GreedyPath,128,1,1913,1694,4,215,0.0020909566126502874,0.11238891792995295
direct,DFlash2-GreedyPath,128,2,1690,1440,13,237,0.007692307692307693,0.14023668639053255
direct,DFlash2-GreedyPath,128,3,1434,1202,23,209,0.01603905160390516,0.14574616457461645
direct,DFlash2-GreedyPath,128,4,1198,1024,25,149,0.020868113522537562,0.12437395659432388
direct,DFlash2-GreedyPath,128,5,1023,848,17,158,0.016617790811339198,0.1544477028347996
direct,DFlash2-GreedyPath,128,6,848,696,20,132,0.02358490566037736,0.15566037735849056
direct,DFlash2-GreedyPath,128,7,691,568,23,100,0.03328509406657019,0.1447178002894356
direct,DFlash2-GreedyPath,256,1,1913,1694,4,215,0.0020909566126502874,0.11238891792995295
direct,DFlash2-GreedyPath,256,2,1690,1440,13,237,0.007692307692307693,0.14023668639053255
direct,DFlash2-GreedyPath,256,3,1434,1202,23,209,0.01603905160390516,0.14574616457461645
direct,DFlash2-GreedyPath,256,4,1198,1024,25,149,0.020868113522537562,0.12437395659432388
direct,DFlash2-GreedyPath,256,5,1023,848,17,158,0.016617790811339198,0.1544477028347996
direct,DFlash2-GreedyPath,256,6,848,696,20,132,0.02358490566037736,0.15566037735849056
direct,DFlash2-GreedyPath,256,7,691,568,23,100,0.03328509406657019,0.1447178002894356
