round_index,prompt_index,prompt_id,method,depth,representable,entry_budget,censored_above_budget
6,0,gsm8k:test:264:turn-0:cbccfbeeb182,Unary-Truncated,2,True,2,False
6,0,gsm8k:test:264:turn-0:cbccfbeeb182,Unary-Truncated,3,False,,False
6,0,gsm8k:test:264:turn-0:cbccfbeeb182,Unary-Truncated,4,False,,False
6,0,gsm8k:test:264:turn-0:cbccfbeeb182,Unary-Truncated,5,False,,False
6,0,gsm8k:test:264:turn-0:cbccfbeeb182,Unary-Truncated,6,False,,False
6,0,gsm8k:test:264:turn-0:cbccfbeeb182,Unary-Truncated,7,False,,False
6,0,gsm8k:test:264:turn-0:cbccfbeeb182,Pairwise-MassPreserving,1,True,1,False
6,0,gsm8k:test:264:turn-0:cbccfbeeb182,Pairwise-MassPreserving,2,True,2,False
6,0,gsm8k:test:264:turn-0:cbccfbeeb182,Pairwise-MassPreserving,3,False,,False
6,0,gsm8k:test:264:turn-0:cbccfbeeb182,Pairwise-MassPreserving,4,False,,False
6,0,gsm8k:test:264:turn-0:cbccfbeeb182,Pairwise-MassPreserving,5,False,,False
6,0,gsm8k:test:264:turn-0:cbccfbeeb182,Pairwise-MassPreserving,6,False,,False
6,0,gsm8k:test:264:turn-0:cbccfbeeb182,Pairwise-MassPreserving,7,False,,False
6,0,gsm8k:test:264:turn-0:cbccfbeeb182,Pairwise-after-root,1,True,1,False
6,0,gsm8k:test:264:turn-0:cbccfbeeb182,Pairwise-after-root,2,True,2,False
6,0,gsm8k:test:264:turn-0:cbccfbeeb182,Pairwise-after-root,3,False,,False
6,0,gsm8k:test:264:turn-0:cbccfbeeb182,Pairwise-after-root,4,False,,False
6,0,gsm8k:test:264:turn-0:cbccfbeeb182,Pairwise-after-root,5,False,,False
6,0,gsm8k:test:264:turn-0:cbccfbeeb182,Pairwise-after-root,6,False,,False
6,0,gsm8k:test:264:turn-0:cbccfbeeb182,Pairwise-after-root,7,False,,False
7,0,gsm8k:test:264:turn-0:cbccfbeeb182,Unary-FullMass,1,True,1,False
7,0,gsm8k:test:264:turn-0:cbccfbeeb182,Unary-FullMass,2,True,2,False
7,0,gsm8k:test:264:turn-0:cbccfbeeb182,Unary-FullMass,3,True,8,False
7,0,gsm8k:test:264:turn-0:cbccfbeeb182,Unary-FullMass,4,True,,True
7,0,gsm8k:test:264:turn-0:cbccfbeeb182,Unary-FullMass,5,True,,True
7,0,gsm8k:test:264:turn-0:cbccfbeeb182,Unary-FullMass,6,True,,True
7,0,gsm8k:test:264:turn-0:cbccfbeeb182,Unary-FullMass,7,True,,True
7,0,gsm8k:test:264:turn-0:cbccfbeeb182,Unary-Truncated,1,True,1,False
7,0,gsm8k:test:264:turn-0:cbccfbeeb182,Unary-Truncated,2,True,2,False
7,0,gsm8k:test:264:turn-0:cbccfbeeb182,Unary-Truncated,3,True,8,False
7,0,gsm8k:test:264:turn-0:cbccfbeeb182,Unary-Truncated,4,True,,True
7,0,gsm8k:test:264:turn-0:cbccfbeeb182,Unary-Truncated,5,True,,True
7,0,gsm8k:test:264:turn-0:cbccfbeeb182,Unary-Truncated,6,True,,True
7,0,gsm8k:test:264:turn-0:cbccfbeeb182,Unary-Truncated,7,True,,True
7,0,gsm8k:test:264:turn-0:cbccfbeeb182,Pairwise-MassPreserving,1,True,1,False
7,0,gsm8k:test:264:turn-0:cbccfbeeb182,Pairwise-MassPreserving,2,True,2,False
7,0,gsm8k:test:264:turn-0:cbccfbeeb182,Pairwise-MassPreserving,3,True,8,False
7,0,gsm8k:test:264:turn-0:cbccfbeeb182,Pairwise-MassPreserving,4,True,21,False
7,0,gsm8k:test:264:turn-0:cbccfbeeb182,Pairwise-MassPreserving,5,True,46,False
7,0,gsm8k:test:264:turn-0:cbccfbeeb182,Pairwise-MassPreserving,6,True,119,False
7,0,gsm8k:test:264:turn-0:cbccfbeeb182,Pairwise-MassPreserving,7,True,142,False
7,0,gsm8k:test:264:turn-0:cbccfbeeb182,Pairwise-after-root,1,True,1,False
7,0,gsm8k:test:264:turn-0:cbccfbeeb182,Pairwise-after-root,2,True,2,False
7,0,gsm8k:test:264:turn-0:cbccfbeeb182,Pairwise-after-root,3,True,8,False
7,0,gsm8k:test:264:turn-0:cbccfbeeb182,Pairwise-after-root,4,True,21,False
7,0,gsm8k:test:264:turn-0:cbccfbeeb182,Pairwise-after-root,5,True,46,False
7,0,gsm8k:test:264:turn-0:cbccfbeeb182,Pairwise-after-root,6,True,119,False
7,0,gsm8k:test:264:turn-0:cbccfbeeb182,Pairwise-after-root,7,True,142,False
8,0,gsm8k:test:264:turn-0:cbccfbeeb182,Unary-FullMass,1,True,1,False
8,0,gsm8k:test:264:turn-0:cbccfbeeb182,Unary-FullMass,2,True,6,False
8,0,gsm8k:test:264:turn-0:cbccfbeeb182,Unary-FullMass,3,True,24,False
8,0,gsm8k:test:264:turn-0:cbccfbeeb182,Unary-FullMass,4,True,28,False
8,0,gsm8k:test:264:turn-0:cbccfbeeb182,Unary-FullMass,5,True,91,False
8,0,gsm8k:test:264:turn-0:cbccfbeeb182,Unary-FullMass,6,True,132,False
8,0,gsm8k:test:264:turn-0:cbccfbeeb182,Unary-FullMass,7,True,,True
8,0,gsm8k:test:264:turn-0:cbccfbeeb182,Unary-Truncated,1,True,1,False
8,0,gsm8k:test:264:turn-0:cbccfbeeb182,Unary-Truncated,2,True,6,False
8,0,gsm8k:test:264:turn-0:cbccfbeeb182,Unary-Truncated,3,True,26,False
8,0,gsm8k:test:264:turn-0:cbccfbeeb182,Unary-Truncated,4,True,28,False
8,0,gsm8k:test:264:turn-0:cbccfbeeb182,Unary-Truncated,5,True,90,False
8,0,gsm8k:test:264:turn-0:cbccfbeeb182,Unary-Truncated,6,True,130,False
8,0,gsm8k:test:264:turn-0:cbccfbeeb182,Unary-Truncated,7,True,,True
8,0,gsm8k:test:264:turn-0:cbccfbeeb182,Pairwise-MassPreserving,1,True,1,False
8,0,gsm8k:test:264:turn-0:cbccfbeeb182,Pairwise-MassPreserving,2,True,2,False
8,0,gsm8k:test:264:turn-0:cbccfbeeb182,Pairwise-MassPreserving,3,True,3,False
8,0,gsm8k:test:264:turn-0:cbccfbeeb182,Pairwise-MassPreserving,4,True,4,False
8,0,gsm8k:test:264:turn-0:cbccfbeeb182,Pairwise-MassPreserving,5,True,8,False
8,0,gsm8k:test:264:turn-0:cbccfbeeb182,Pairwise-MassPreserving,6,True,9,False
8,0,gsm8k:test:264:turn-0:cbccfbeeb182,Pairwise-MassPreserving,7,True,18,False
8,0,gsm8k:test:264:turn-0:cbccfbeeb182,Pairwise-after-root,1,True,1,False
8,0,gsm8k:test:264:turn-0:cbccfbeeb182,Pairwise-after-root,2,True,2,False
8,0,gsm8k:test:264:turn-0:cbccfbeeb182,Pairwise-after-root,3,True,3,False
8,0,gsm8k:test:264:turn-0:cbccfbeeb182,Pairwise-after-root,4,True,4,False
8,0,gsm8k:test:264:turn-0:cbccfbeeb182,Pairwise-after-root,5,True,8,False
8,0,gsm8k:test:264:turn-0:cbccfbeeb182,Pairwise-after-root,6,True,9,False
